Local time,Open,High,Low,Close,Volume
31.12.2014 01:30:00.000 GMT+0330,1199.290,1203.772,1179.588,1183.701,29512549.787700005
01.01.2015 01:30:00.000 GMT+0330,1183.701,1183.701,1183.701,1183.701,0
02.01.2015 01:30:00.000 GMT+0330,1183.949,1194.998,1167.430,1188.354,43273229.569
03.01.2015 01:30:00.000 GMT+0330,1188.354,1188.354,1188.354,1188.354,0
04.01.2015 01:30:00.000 GMT+0330,1188.354,1188.354,1188.354,1188.354,0
05.01.2015 01:30:00.000 GMT+0330,1188.111,1207.387,1177.929,1204.361,51359780.3117
06.01.2015 01:30:00.000 GMT+0330,1204.111,1223.022,1201.603,1218.162,58300869.707499996
07.01.2015 01:30:00.000 GMT+0330,1217.862,1218.568,1208.951,1210.962,45069150.42210001
08.01.2015 01:30:00.000 GMT+0330,1210.514,1216.429,1204.771,1208.621,46554829.490499996
09.01.2015 01:30:00.000 GMT+0330,1208.621,1223.978,1206.939,1223.032,46998519.756900005
10.01.2015 01:30:00.000 GMT+0330,1223.032,1223.032,1223.032,1223.032,0
11.01.2015 01:30:00.000 GMT+0330,1223.032,1223.032,1223.032,1223.032,0
12.01.2015 01:30:00.000 GMT+0330,1223.029,1235.822,1217.472,1233.002,48826440.840799995
13.01.2015 01:30:00.000 GMT+0330,1232.979,1244.087,1227.238,1230.504,66711359.709699996
14.01.2015 01:30:00.000 GMT+0330,1230.463,1244.308,1224.976,1228.418,78222530.07550001
15.01.2015 01:30:00.000 GMT+0330,1228.449,1266.712,1225.965,1261.985,72674680.1774
16.01.2015 01:30:00.000 GMT+0330,1261.995,1282.031,1254.930,1280.222,61847999.6405
17.01.2015 01:30:00.000 GMT+0330,1280.222,1280.222,1280.222,1280.222,0
18.01.2015 01:30:00.000 GMT+0330,1280.222,1280.222,1280.222,1280.222,0
19.01.2015 01:30:00.000 GMT+0330,1280.082,1281.358,1271.998,1276.518,35003989.773
20.01.2015 01:30:00.000 GMT+0330,1275.849,1297.121,1274.001,1294.942,62092510.461600006
21.01.2015 01:30:00.000 GMT+0330,1294.477,1305.244,1284.549,1292.963,69390840.5428
22.01.2015 01:30:00.000 GMT+0330,1292.990,1307.474,1279.534,1301.841,62539369.94080001
23.01.2015 01:30:00.000 GMT+0330,1301.658,1302.078,1284.308,1294.001,55323929.7013
24.01.2015 01:30:00.000 GMT+0330,1294.001,1294.001,1294.001,1294.001,0
25.01.2015 01:30:00.000 GMT+0330,1294.001,1294.001,1294.001,1294.001,0
26.01.2015 01:30:00.000 GMT+0330,1293.109,1299.109,1275.828,1281.092,55337719.8277
27.01.2015 01:30:00.000 GMT+0330,1281.094,1297.527,1272.221,1291.972,56203559.7347
28.01.2015 01:30:00.000 GMT+0330,1291.710,1293.629,1279.700,1284.252,47439600.765700005
29.01.2015 01:30:00.000 GMT+0330,1283.490,1285.871,1252.050,1257.041,59389489.6847
30.01.2015 01:30:00.000 GMT+0330,1256.627,1284.699,1256.627,1283.351,58529680.25630001
31.01.2015 01:30:00.000 GMT+0330,1283.351,1283.351,1283.351,1283.351,0
01.02.2015 01:30:00.000 GMT+0330,1283.351,1283.351,1283.351,1283.351,0
02.02.2015 01:30:00.000 GMT+0330,1281.849,1283.341,1266.292,1274.071,51671520.203099996
03.02.2015 01:30:00.000 GMT+0330,1273.981,1285.670,1255.461,1259.952,54599300.35880001
04.02.2015 01:30:00.000 GMT+0330,1259.497,1272.349,1256.634,1268.841,51466880.3554
05.02.2015 01:30:00.000 GMT+0330,1270.080,1273.879,1256.141,1264.472,47088440.06069999
06.02.2015 01:30:00.000 GMT+0330,1264.829,1268.696,1228.298,1233.602,43110460.4603
07.02.2015 01:30:00.000 GMT+0330,1233.602,1233.602,1233.602,1233.602,0
08.02.2015 01:30:00.000 GMT+0330,1233.602,1233.602,1233.602,1233.602,0
09.02.2015 01:30:00.000 GMT+0330,1236.380,1243.658,1234.229,1238.722,45883730.17279999
10.02.2015 01:30:00.000 GMT+0330,1237.850,1245.808,1230.946,1233.431,47551989.85339999
11.02.2015 01:30:00.000 GMT+0330,1233.680,1238.649,1216.499,1218.711,39854949.980900005
12.02.2015 01:30:00.000 GMT+0330,1218.769,1232.867,1217.949,1221.691,48447760.34350001
13.02.2015 01:30:00.000 GMT+0330,1221.571,1234.899,1221.571,1229.461,48244080.1898
14.02.2015 01:30:00.000 GMT+0330,1229.461,1229.461,1229.461,1229.461,0
15.02.2015 01:30:00.000 GMT+0330,1229.461,1229.461,1229.461,1229.461,0
16.02.2015 01:30:00.000 GMT+0330,1227.921,1236.538,1227.242,1231.728,22866150.230000004
17.02.2015 01:30:00.000 GMT+0330,1229.811,1233.932,1203.713,1209.351,32899100.035600003
18.02.2015 01:30:00.000 GMT+0330,1208.845,1213.380,1197.531,1212.092,38266269.9264
19.02.2015 01:30:00.000 GMT+0330,1212.092,1222.912,1205.334,1206.475,44613099.892000005
20.02.2015 01:30:00.000 GMT+0330,1206.454,1215.388,1198.141,1201.582,45107590.322100006
21.02.2015 01:30:00.000 GMT+0330,1201.582,1201.582,1201.582,1201.582,0
22.02.2015 01:30:00.000 GMT+0330,1201.582,1201.582,1201.582,1201.582,0
23.02.2015 01:30:00.000 GMT+0330,1203.370,1210.279,1190.749,1201.471,35496769.9945
24.02.2015 01:30:00.000 GMT+0330,1201.431,1204.472,1190.388,1200.091,45852910.349
25.02.2015 01:30:00.000 GMT+0330,1199.469,1211.782,1199.460,1204.651,40045129.9331
26.02.2015 01:30:00.000 GMT+0330,1204.605,1219.941,1203.531,1209.051,54368939.9189
27.02.2015 01:30:00.000 GMT+0330,1208.570,1219.329,1204.439,1212.971,50027674.9176
28.02.2015 01:30:00.000 GMT+0330,1212.971,1212.971,1212.971,1212.971,0
01.03.2015 01:30:00.000 GMT+0330,1212.971,1212.971,1212.623,1212.623,0
02.03.2015 01:30:00.000 GMT+0330,1213.669,1223.189,1204.595,1206.502,48258390.12879999
03.03.2015 01:30:00.000 GMT+0330,1205.842,1214.768,1195.378,1203.342,46792139.679000005
04.03.2015 01:30:00.000 GMT+0330,1203.848,1208.931,1198.214,1200.002,39694810.3607
05.03.2015 01:30:00.000 GMT+0330,1200.322,1209.380,1196.458,1198.072,37418719.52989999
06.03.2015 01:30:00.000 GMT+0330,1197.769,1200.639,1163.723,1166.991,45860800.087299995
07.03.2015 01:30:00.000 GMT+0330,1166.991,1166.991,1166.991,1166.991,0
08.03.2015 01:30:00.000 GMT+0330,1166.991,1166.991,1166.991,1166.991,0
09.03.2015 00:30:00.000 GMT+0330,1169.209,1175.289,1165.798,1166.811,32264710.009
10.03.2015 00:30:00.000 GMT+0330,1166.751,1170.529,1155.192,1161.548,45945100.389699996
11.03.2015 00:30:00.000 GMT+0330,1161.644,1165.191,1147.462,1155.149,43395679.9509
12.03.2015 00:30:00.000 GMT+0330,1154.718,1166.479,1148.538,1153.518,48243379.1544
13.03.2015 00:30:00.000 GMT+0330,1153.249,1161.718,1151.348,1158.093,38839409.64930001
14.03.2015 00:30:00.000 GMT+0330,1158.093,1158.093,1158.093,1158.093,0
15.03.2015 00:30:00.000 GMT+0330,1158.093,1158.093,1158.093,1158.093,0
16.03.2015 00:30:00.000 GMT+0330,1158.720,1164.047,1150.336,1154.489,34586880.356
17.03.2015 00:30:00.000 GMT+0330,1154.279,1159.829,1142.759,1149.359,41046810.030499995
18.03.2015 00:30:00.000 GMT+0330,1149.086,1175.605,1145.908,1167.238,39381310.198800005
19.03.2015 00:30:00.000 GMT+0330,1166.791,1177.741,1159.514,1170.918,51450600.02819999
20.03.2015 00:30:00.000 GMT+0330,1170.611,1187.947,1168.728,1181.884,45885739.7438
21.03.2015 00:30:00.000 GMT+0330,1181.884,1181.884,1181.884,1181.884,0
22.03.2015 01:30:00.000 GMT+0430,1181.884,1181.884,1181.884,1181.884,0
23.03.2015 01:30:00.000 GMT+0430,1183.469,1191.579,1179.308,1189.278,50997609.79389999
24.03.2015 01:30:00.000 GMT+0430,1188.909,1194.989,1185.399,1193.158,48653169.900199994
25.03.2015 01:30:00.000 GMT+0430,1192.755,1199.689,1186.618,1195.328,40996859.742
26.03.2015 01:30:00.000 GMT+0430,1194.825,1219.681,1194.468,1204.628,48885299.571600005
27.03.2015 01:30:00.000 GMT+0430,1204.439,1206.147,1192.599,1198.293,41418450.07029999
28.03.2015 01:30:00.000 GMT+0430,1198.293,1198.293,1198.293,1198.293,0
29.03.2015 01:30:00.000 GMT+0430,1198.293,1198.293,1198.293,1198.293,0
30.03.2015 01:30:00.000 GMT+0430,1198.571,1199.361,1182.318,1185.835,36595469.951400004
31.03.2015 01:30:00.000 GMT+0430,1185.637,1190.719,1178.391,1183.269,48677849.97839999
01.04.2015 01:30:00.000 GMT+0430,1182.842,1208.598,1180.821,1203.668,45351200.063300006
02.04.2015 01:30:00.000 GMT+0430,1203.607,1207.302,1194.909,1202.169,43896510.60529999
03.04.2015 01:30:00.000 GMT+0430,1201.977,1201.977,1201.899,1201.899,740
04.04.2015 01:30:00.000 GMT+0430,1201.899,1201.899,1201.899,1201.899,0
05.04.2015 01:30:00.000 GMT+0430,1201.899,1201.899,1201.899,1201.899,0
06.04.2015 01:30:00.000 GMT+0430,1213.160,1224.188,1212.900,1214.438,40270569.7419
07.04.2015 01:30:00.000 GMT+0430,1213.807,1215.744,1207.425,1208.729,37186480.019600004
08.04.2015 01:30:00.000 GMT+0430,1208.660,1212.311,1197.379,1202.118,44567570.14960001
09.04.2015 01:30:00.000 GMT+0430,1202.630,1203.280,1192.618,1194.509,41189419.925400004
10.04.2015 01:30:00.000 GMT+0430,1194.363,1210.739,1193.252,1206.774,39423300.289500006
11.04.2015 01:30:00.000 GMT+0430,1206.774,1206.774,1206.774,1206.774,0
12.04.2015 01:30:00.000 GMT+0430,1206.774,1206.774,1206.774,1206.774,0
13.04.2015 01:30:00.000 GMT+0430,1206.831,1209.498,1196.388,1198.628,41212779.909200005
14.04.2015 01:30:00.000 GMT+0430,1198.403,1201.429,1183.970,1192.429,49178539.557000004
15.04.2015 01:30:00.000 GMT+0430,1191.837,1204.538,1188.901,1202.209,41421289.8208
16.04.2015 01:30:00.000 GMT+0430,1202.179,1209.168,1194.752,1198.128,52204930.69300001
17.04.2015 01:30:00.000 GMT+0430,1197.924,1207.779,1197.428,1203.046,54493959.73330001
18.04.2015 01:30:00.000 GMT+0430,1203.046,1203.046,1203.046,1203.046,0
19.04.2015 01:30:00.000 GMT+0430,1203.046,1203.046,1203.046,1203.046,0
20.04.2015 01:30:00.000 GMT+0430,1204.572,1209.077,1191.383,1195.458,47867100.2089
21.04.2015 01:30:00.000 GMT+0430,1195.015,1204.282,1193.139,1202.088,39960673.45549999
22.04.2015 01:30:00.000 GMT+0430,1202.028,1204.759,1185.679,1186.928,48095330.2464
23.04.2015 01:30:00.000 GMT+0430,1186.877,1197.980,1184.304,1193.648,50830880.4755
24.04.2015 01:30:00.000 GMT+0430,1193.205,1195.902,1175.204,1179.054,47250650.2014
25.04.2015 01:30:00.000 GMT+0430,1179.054,1179.054,1179.054,1179.054,0
26.04.2015 01:30:00.000 GMT+0430,1179.054,1179.054,1179.054,1179.054,0
27.04.2015 01:30:00.000 GMT+0430,1179.820,1207.218,1178.613,1201.747,53451480.299100004
28.04.2015 01:30:00.000 GMT+0430,1201.747,1215.031,1199.211,1211.678,56363980.220499985
